vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.0002827644348144531,103,100,0.125,0.25,0.125
4,52,2,0.0008220672607421875,212,200,0.125,0.25,0.25
4,87,1,0.0006661415100097656,321,300,0.125,0.25,0.5
4,69,1,0.001096487045288086,539,500,0.125,0.25,0.75
5,150,2,0.000522613525390625,212,200,0.125,0.25,0.125
5,168,2,0.0006766319274902344,324,300,0.125,0.25,0.25
5,25,1,0.0011646747589111328,536,500,0.125,0.25,0.5
5,57,2,0.0016744136810302734,868,800,0.125,0.25,0.75
6,78,2,0.0007596015930175781,212,200,0.125,0.25,0.125
6,53,3,0.0008790493011474609,422,400,0.125,0.25,0.25
6,159,2,0.0016987323760986328,844,800,0.125,0.25,0.5
6,127,3,0.0024368762969970703,1317,1200,0.125,0.25,0.75
7,129,3,0.0007903575897216797,329,300,0.125,0.25,0.125
7,324,5,0.0012521743774414062,645,600,0.125,0.25,0.25
7,220,4,0.002245664596557617,1180,1100,0.125,0.25,0.5
7,114,5,0.0034012794494628906,1731,1600,0.125,0.25,0.75
8,286,4,0.0011875629425048828,462,400,0.125,0.25,0.125
8,296,6,0.0017113685607910156,745,700,0.125,0.25,0.25
8,121,3,0.002880096435546875,1477,1400,0.125,0.25,0.5
8,321,5,0.00443720817565918,2313,2100,0.125,0.25,0.75
9,156,4,0.0011489391326904297,566,500,0.125,0.25,0.125
9,380,7,0.0018913745880126953,986,900,0.125,0.25,0.25
9,167,3,0.0037620067596435547,1910,1800,0.125,0.25,0.5
9,235,7,0.0055162906646728516,2945,2700,0.125,0.25,0.75
10,222,5,0.0012652873992919922,680,600,0.125,0.25,0.125
10,167,4,0.0024449825286865234,1289,1200,0.125,0.25,0.25
10,183,4,0.0048236846923828125,2475,2300,0.125,0.25,0.5
10,345,6,0.00702667236328125,3649,3400,0.125,0.25,0.75
11,242,6,0.0014719963073730469,799,700,0.125,0.25,0.125
11,355,5,0.0027658939361572266,1546,1400,0.125,0.25,0.25
11,417,8,0.005550861358642578,3024,2800,0.125,0.25,0.5
11,503,10,0.00836944580078125,4724,4200,0.125,0.25,0.75
12,386,8,0.0019369125366210938,1119,900,0.125,0.25,0.125
12,549,10,0.0034608840942382812,1949,1700,0.125,0.25,0.25
12,265,6,0.006507158279418945,3480,3300,0.125,0.25,0.5
12,440,9,0.009879112243652344,5440,5000,0.125,0.25,0.75
13,352,7,0.0020554065704345703,1106,1000,0.125,0.25,0.125
13,317,6,0.0040433406829833984,2206,2000,0.125,0.25,0.25
13,488,9,0.007797718048095703,4198,3900,0.125,0.25,0.5
13,418,8,0.011685848236083984,6403,5900,0.125,0.25,0.75
14,353,8,0.0024576187133789062,1367,1200,0.125,0.25,0.125
14,450,12,0.004601716995239258,2549,2300,0.125,0.25,0.25
14,684,13,0.009156942367553711,5101,4600,0.125,0.25,0.5
14,625,17,0.014192819595336914,7514,6900,0.125,0.25,0.75
15,324,10,0.002908468246459961,1642,1400,0.125,0.25,0.125
15,412,8,0.005536317825317383,3024,2700,0.125,0.25,0.25
15,764,15,0.010745763778686523,5925,5300,0.125,0.25,0.5
15,668,12,0.016164779663085938,8805,7900,0.125,0.25,0.75
16,342,7,0.0030367374420166016,1641,1500,0.125,0.25,0.125
16,785,14,0.0060918331146240234,3237,3000,0.125,0.25,0.25
16,787,17,0.012782573699951172,6926,6000,0.125,0.25,0.5
16,788,13,0.019045114517211914,10017,9000,0.125,0.25,0.75
17,317,8,0.0036668777465820312,2029,1700,0.125,0.25,0.125
17,637,13,0.007020473480224609,3673,3400,0.125,0.25,0.25
17,523,13,0.014202117919921875,7333,6800,0.125,0.25,0.5
17,815,11,0.02108907699584961,11573,10200,0.125,0.25,0.75
18,637,12,0.004242658615112305,2289,2000,0.125,0.25,0.125
18,915,14,0.00822901725769043,4430,3900,0.125,0.25,0.25
18,574,12,0.016117572784423828,8537,7700,0.125,0.25,0.5
18,776,16,0.02319502830505371,12609,11500,0.125,0.25,0.75
19,463,10,0.004480838775634766,2396,2200,0.125,0.25,0.125
19,589,11,0.008745193481445312,4662,4300,0.125,0.25,0.25
19,922,17,0.01754283905029297,9303,8600,0.125,0.25,0.5
19,721,15,0.0269625186920166,15047,12900,0.125,0.25,0.75
20,821,14,0.005021572113037109,2764,2400,0.125,0.25,0.125
20,546,11,0.009901285171508789,5387,4800,0.125,0.25,0.25
20,961,19,0.019160747528076172,10609,9500,0.125,0.25,0.5
20,745,17,0.028885841369628906,16334,14300,0.125,0.25,0.75
21,709,16,0.0056073665618896484,3019,2700,0.125,0.25,0.125
21,748,14,0.010924339294433594,5819,5300,0.125,0.25,0.25
21,968,19,0.02107524871826172,11908,10500,0.125,0.25,0.5
21,1253,24,0.03235912322998047,17878,15800,0.125,0.25,0.75
22,914,14,0.0060710906982421875,3353,2900,0.125,0.25,0.125
22,1406,26,0.011807680130004883,6804,5800,0.125,0.25,0.25
22,1140,26,0.023669004440307617,13119,11600,0.125,0.25,0.5
22,808,20,0.03535628318786621,19436,17400,0.125,0.25,0.75
23,799,15,0.006758451461791992,3526,3200,0.125,0.25,0.125
23,658,14,0.013035297393798828,6860,6400,0.125,0.25,0.25
23,949,18,0.02497386932373047,13962,12700,0.125,0.25,0.5
23,832,19,0.03760552406311035,20647,19000,0.125,0.25,0.75
24,701,17,0.007203578948974609,3873,3500,0.125,0.25,0.125
24,656,18,0.014280080795288086,7559,6900,0.125,0.25,0.25
24,1408,23,0.02777552604675293,15073,13800,0.125,0.25,0.5
24,1403,25,0.04158973693847656,22634,20700,0.125,0.25,0.75
25,847,13,0.0076427459716796875,4157,3800,0.125,0.25,0.125
25,748,13,0.01555633544921875,8792,7500,0.125,0.25,0.25
25,1412,26,0.030480623245239258,16895,15000,0.125,0.25,0.5
25,1238,24,0.044619083404541016,25032,22500,0.125,0.25,0.75
26,1227,21,0.008471250534057617,4761,4100,0.125,0.25,0.125
26,1552,26,0.01691579818725586,9550,8200,0.125,0.25,0.25
26,1129,26,0.03238725662231445,17627,16300,0.125,0.25,0.5
26,1181,26,0.04945254325866699,28121,24400,0.125,0.25,0.75
27,898,17,0.009294271469116211,4829,4400,0.125,0.25,0.125
27,1179,22,0.017413854598999023,9482,8800,0.125,0.25,0.25
27,1035,19,0.036962032318115234,20084,17600,0.125,0.25,0.5
27,1626,30,0.055168867111206055,30043,26400,0.125,0.25,0.75
28,764,21,0.009959697723388672,5345,4800,0.125,0.25,0.125
28,1257,21,0.01978278160095215,11229,9500,0.125,0.25,0.25
28,1281,26,0.038848876953125,20927,18900,0.125,0.25,0.5
28,1666,39,0.05971980094909668,32568,28400,0.125,0.25,0.75
29,1370,20,0.0109710693359375,6327,5100,0.125,0.25,0.125
29,1108,18,0.02163219451904297,12450,10200,0.125,0.25,0.25
29,1318,33,0.04153585433959961,23247,20300,0.125,0.25,0.5
29,1037,24,0.06402206420898438,35613,30500,0.125,0.25,0.75
30,1227,24,0.010961055755615234,6040,5500,0.125,0.25,0.125
30,1061,24,0.021617412567138672,11834,10900,0.125,0.25,0.25
30,2285,38,0.04404044151306152,24572,21800,0.125,0.25,0.5
30,1499,35,0.06917858123779297,36634,32700,0.125,0.25,0.75
