vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.016066551208496094,48752,10000,0.125,0.25
4,0.25,52,2,0.019994258880615234,48754,10000,0.125,0.25
4,0.5,168,2,0.019812345504760742,47518,10000,0.125,0.25
4,0.75,90,2,0.02059173583984375,47582,10000,0.125,0.25
5,0.125,150,2,0.019249439239501953,48754,10000,0.125,0.25
5,0.25,168,2,0.01993250846862793,47515,10000,0.125,0.25
5,0.5,50,2,0.020081520080566406,47574,10000,0.125,0.25
5,0.75,15,2,0.021436691284179688,47757,10000,0.125,0.25
6,0.125,78,2,0.019809484481811523,48754,10000,0.125,0.25
6,0.25,74,2,0.019615650177001953,47525,10000,0.125,0.25
6,0.5,41,2,0.02256011962890625,47694,10000,0.125,0.25
6,0.75,46,2,0.025557994842529297,48093,10000,0.125,0.25
7,0.125,129,3,0.023740053176879883,48761,10000,0.125,0.25
7,0.25,69,2,0.020497560501098633,47578,10000,0.125,0.25
7,0.5,186,3,0.02588486671447754,47934,10000,0.125,0.25
7,0.75,69,3,0.03296828269958496,48409,10000,0.125,0.25
8,0.125,286,4,0.026259660720825195,48789,10000,0.125,0.25
8,0.25,77,2,0.02151179313659668,47597,10000,0.125,0.25
8,0.5,124,2,0.0295102596282959,48118,10000,0.125,0.25
8,0.75,100,3,0.04299116134643555,49235,10000,0.125,0.25
9,0.125,156,4,0.021600723266601562,47594,10000,0.125,0.25
9,0.25,134,3,0.024529695510864258,47706,10000,0.125,0.25
9,0.5,92,3,0.09941673278808594,61851,10000,0.125,0.25
9,0.75,44,3,0.09748983383178711,65601,10000,0.125,0.25
10,0.125,123,4,0.021713733673095703,47757,10000,0.125,0.25
10,0.25,94,3,0.029628276824951172,49548,10000,0.125,0.25
10,0.5,81,5,0.09627842903137207,61995,10000,0.125,0.25
10,0.75,137,3,0.09435844421386719,69382,10000,0.125,0.25
11,0.125,172,4,0.02271103858947754,47972,10000,0.125,0.25
11,0.25,258,4,0.08846640586853027,54106,10000,0.125,0.25
11,0.5,209,5,0.09469008445739746,64429,10000,0.125,0.25
11,0.75,188,6,0.11618995666503906,85311,10000,0.125,0.25
12,0.125,172,5,0.029570341110229492,49599,10000,0.125,0.25
12,0.25,208,4,0.08995747566223145,54651,10000,0.125,0.25
12,0.5,160,6,0.09863781929016113,72926,10000,0.125,0.25
12,0.75,248,5,0.1278698444366455,93265,10000,0.125,0.25
13,0.125,252,5,0.029085636138916016,49310,10000,0.125,0.25
13,0.25,122,4,0.08221316337585449,55050,10000,0.125,0.25
13,0.5,291,6,0.11133050918579102,74005,10000,0.125,0.25
13,0.75,295,6,0.1376340389251709,108623,10000,0.125,0.25
14,0.125,250,6,0.07223701477050781,52588,10000,0.125,0.25
14,0.25,149,6,0.09756660461425781,58398,10000,0.125,0.25
14,0.5,202,8,0.13360857963562012,106241,10000,0.125,0.25
14,0.75,215,9,0.13819050788879395,101286,10000,0.125,0.25
15,0.125,62,4,0.09634017944335938,59510,10000,0.125,0.25
15,0.25,230,6,0.09981608390808105,63686,10000,0.125,0.25
15,0.5,141,6,0.12674856185913086,94087,10000,0.125,0.25
