vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.019216060638427734,3,10000,0.125,0.25
4,0.25,52,2,0.021988868713378906,13,10000,0.125,0.25
4,0.5,87,1,0.02083754539489746,20,10000,0.125,0.25
4,0.75,69,1,0.019832611083984375,46,10000,0.125,0.25
5,0.125,150,2,0.02128744125366211,13,10000,0.125,0.25
5,0.25,171,2,0.019140958786010742,17,10000,0.125,0.25
5,0.5,25,1,0.01990199089050293,34,10000,0.125,0.25
5,0.75,61,2,0.019910335540771484,65,10000,0.125,0.25
6,0.125,78,2,0.021747350692749023,13,10000,0.125,0.25
6,0.25,88,3,0.019728660583496094,29,10000,0.125,0.25
6,0.5,91,2,0.020093441009521484,41,10000,0.125,0.25
6,0.75,245,3,0.020113468170166016,118,10000,0.125,0.25
7,0.125,129,3,0.02229928970336914,34,10000,0.125,0.25
7,0.25,309,5,0.019346237182617188,46,10000,0.125,0.25
7,0.5,395,5,0.020560026168823242,116,10000,0.125,0.25
7,0.75,84,3,0.020528078079223633,125,10000,0.125,0.25
8,0.125,286,4,0.024754762649536133,79,10000,0.125,0.25
8,0.25,211,5,0.019839048385620117,55,10000,0.125,0.25
8,0.5,340,5,0.020258426666259766,114,10000,0.125,0.25
8,0.75,269,4,0.020598411560058594,157,10000,0.125,0.25
9,0.125,151,4,0.019913673400878906,69,10000,0.125,0.25
9,0.25,97,4,0.02002716064453125,64,10000,0.125,0.25
9,0.5,177,3,0.019641876220703125,139,10000,0.125,0.25
9,0.75,354,7,0.01957392692565918,220,10000,0.125,0.25
10,0.125,227,5,0.019651174545288086,101,10000,0.125,0.25
10,0.25,223,5,0.01982259750366211,106,10000,0.125,0.25
10,0.5,311,8,0.019927501678466797,191,10000,0.125,0.25
10,0.75,298,6,0.020062923431396484,285,10000,0.125,0.25
11,0.125,221,5,0.019197702407836914,142,10000,0.125,0.25
11,0.25,599,9,0.019556283950805664,221,10000,0.125,0.25
11,0.5,471,7,0.020211219787597656,371,10000,0.125,0.25
11,0.75,433,8,0.02008843421936035,340,10000,0.125,0.25
12,0.125,205,6,0.019703149795532227,238,10000,0.125,0.25
12,0.25,431,8,0.01981329917907715,190,10000,0.125,0.25
12,0.5,495,8,0.020714998245239258,302,10000,0.125,0.25
12,0.75,628,10,0.019823074340820312,533,10000,0.125,0.25
13,0.125,385,8,0.019739389419555664,128,10000,0.125,0.25
13,0.25,261,5,0.02295064926147461,128,10000,0.125,0.25
13,0.5,551,9,0.020113468170166016,371,10000,0.125,0.25
13,0.75,543,9,0.0209043025970459,835,10000,0.125,0.25
14,0.125,452,10,0.019551992416381836,202,10000,0.125,0.25
14,0.25,286,8,0.01965188980102539,187,10000,0.125,0.25
14,0.5,287,9,0.021724939346313477,580,10000,0.125,0.25
14,0.75,508,11,0.020334243774414062,794,10000,0.125,0.25
15,0.125,288,8,0.019742727279663086,176,10000,0.125,0.25
15,0.25,527,9,0.020035982131958008,226,10000,0.125,0.25
15,0.5,916,17,0.019942522048950195,766,10000,0.125,0.25
15,0.75,973,15,0.020455598831176758,809,10000,0.125,0.25
16,0.125,374,9,0.019775390625,187,10000,0.125,0.25
16,0.25,467,10,0.020265817642211914,324,10000,0.125,0.25
16,0.5,347,9,0.019855022430419922,638,10000,0.125,0.25
16,0.75,891,18,0.02028036117553711,1291,10000,0.125,0.25
17,0.125,415,11,0.020174741744995117,350,10000,0.125,0.25
17,0.25,439,11,0.019985675811767578,325,10000,0.125,0.25
17,0.5,668,14,0.020815134048461914,871,10000,0.125,0.25
17,0.75,609,13,0.02044081687927246,1285,10000,0.125,0.25
18,0.125,496,8,0.020179033279418945,389,10000,0.125,0.25
18,0.25,554,10,0.020574569702148438,546,10000,0.125,0.25
18,0.5,644,13,0.020660877227783203,1285,10000,0.125,0.25
18,0.75,933,20,0.020691633224487305,1856,10000,0.125,0.25
19,0.125,414,9,0.022159337997436523,555,10000,0.125,0.25
19,0.25,911,17,0.020105361938476562,640,10000,0.125,0.25
19,0.5,620,13,0.02019190788269043,923,10000,0.125,0.25
19,0.75,718,16,0.02197718620300293,3291,10000,0.125,0.25
20,0.125,626,11,0.019869327545166016,341,10000,0.125,0.25
20,0.25,552,14,0.01985025405883789,581,10000,0.125,0.25
20,0.5,602,17,0.02012038230895996,1214,10000,0.125,0.25
20,0.75,902,17,0.020960092544555664,1678,10000,0.125,0.25
21,0.125,660,17,0.01958942413330078,550,10000,0.125,0.25
21,0.25,841,16,0.019659042358398438,604,10000,0.125,0.25
21,0.5,822,15,0.0211179256439209,2084,10000,0.125,0.25
21,0.75,1023,20,0.02118372917175293,2422,10000,0.125,0.25
22,0.125,599,12,0.019816160202026367,726,10000,0.125,0.25
22,0.25,911,19,0.021267175674438477,712,10000,0.125,0.25
22,0.5,1393,28,0.023137569427490234,1626,10000,0.125,0.25
22,0.75,1158,21,0.021921396255493164,3426,10000,0.125,0.25
23,0.125,854,17,0.019997596740722656,570,10000,0.125,0.25
23,0.25,1209,21,0.020206689834594727,920,10000,0.125,0.25
23,0.5,789,16,0.01996135711669922,1202,10000,0.125,0.25
23,0.75,1109,24,0.02132272720336914,2497,10000,0.125,0.25
24,0.125,582,12,0.01987147331237793,382,10000,0.125,0.25
24,0.25,1519,29,0.020907163619995117,1430,10000,0.125,0.25
24,0.5,1765,28,0.022149085998535156,3144,10000,0.125,0.25
24,0.75,1082,25,0.022368192672729492,3750,10000,0.125,0.25
25,0.125,1337,22,0.020264387130737305,903,10000,0.125,0.25
25,0.25,778,16,0.02104353904724121,1548,10000,0.125,0.25
25,0.5,1539,27,0.021181106567382812,2164,10000,0.125,0.25
25,0.75,1398,28,0.02150440216064453,3168,10000,0.125,0.25
26,0.125,1051,19,0.02052164077758789,1204,10000,0.125,0.25
26,0.25,1467,25,0.02063751220703125,1395,10000,0.125,0.25
26,0.5,1261,22,0.02076268196105957,1686,10000,0.125,0.25
26,0.75,1068,22,0.02325892448425293,5496,10000,0.125,0.25
27,0.125,795,17,0.02025580406188965,1146,10000,0.125,0.25
27,0.25,1703,31,0.020817041397094727,1508,10000,0.125,0.25
27,0.5,999,22,0.021296262741088867,2170,10000,0.125,0.25
27,0.75,1355,32,0.02480912208557129,6222,10000,0.125,0.25
28,0.125,1061,27,0.020566225051879883,1327,10000,0.125,0.25
28,0.25,1687,32,0.021438121795654297,2925,10000,0.125,0.25
28,0.5,1132,23,0.021059274673461914,2219,10000,0.125,0.25
28,0.75,1798,31,0.023395299911499023,4343,10000,0.125,0.25
29,0.125,1576,22,0.01989459991455078,726,10000,0.125,0.25
29,0.25,1055,20,0.020263671875,804,10000,0.125,0.25
29,0.5,1231,33,0.023116350173950195,4733,10000,0.125,0.25
29,0.75,1759,33,0.021911144256591797,2851,10000,0.125,0.25
30,0.125,852,20,0.01969432830810547,649,10000,0.125,0.25
30,0.25,965,21,0.02040863037109375,1282,10000,0.125,0.25
30,0.5,1875,37,0.022455215454101562,4275,10000,0.125,0.25
30,0.75,1272,29,0.023168325424194336,4512,10000,0.125,0.25
4,0.125,66,1,0.019319772720336914,3,10000,0.5,0.75
4,0.25,52,2,0.02131819725036621,13,10000,0.5,0.75
4,0.5,87,1,0.022614240646362305,20,10000,0.5,0.75
4,0.75,69,1,0.01964712142944336,55,10000,0.5,0.75
5,0.125,150,2,0.02129960060119629,13,10000,0.5,0.75
5,0.25,168,2,0.019755840301513672,30,10000,0.5,0.75
5,0.5,25,1,0.019370079040527344,36,10000,0.5,0.75
5,0.75,61,2,0.020253419876098633,72,10000,0.5,0.75
6,0.125,78,2,0.02141880989074707,13,10000,0.5,0.75
6,0.25,74,2,0.019572973251342773,31,10000,0.5,0.75
6,0.5,178,2,0.019850492477416992,45,10000,0.5,0.75
6,0.75,225,5,0.019991397857666016,146,10000,0.5,0.75
7,0.125,129,3,0.022438764572143555,34,10000,0.5,0.75
7,0.25,200,3,0.019239187240600586,39,10000,0.5,0.75
7,0.5,225,3,0.019672870635986328,123,10000,0.5,0.75
7,0.75,115,3,0.020004987716674805,135,10000,0.5,0.75
8,0.125,286,4,0.025066614151000977,79,10000,0.5,0.75
8,0.25,193,4,0.019534826278686523,80,10000,0.5,0.75
8,0.5,174,4,0.019989728927612305,140,10000,0.5,0.75
8,0.75,309,7,0.020587921142578125,282,10000,0.5,0.75
9,0.125,156,4,0.01956486701965332,106,10000,0.5,0.75
