vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_configurations,base_threshold,refine_threshold
4,0.125,66,1,0.018829822540283203,3,10000,0.125,0.25
4,0.25,52,2,0.02086663246154785,13,10000,0.125,0.25
4,0.5,87,1,0.019711971282958984,20,10000,0.125,0.25
4,0.75,69,1,0.019939899444580078,37,10000,0.125,0.25
5,0.125,150,2,0.021330833435058594,13,10000,0.125,0.25
5,0.25,168,2,0.01914501190185547,21,10000,0.125,0.25
5,0.5,25,1,0.019737720489501953,34,10000,0.125,0.25
5,0.75,18,2,0.020464658737182617,74,10000,0.125,0.25
6,0.125,78,2,0.021717548370361328,13,10000,0.125,0.25
6,0.25,53,3,0.019875049591064453,27,10000,0.125,0.25
6,0.5,275,4,0.019971370697021484,55,10000,0.125,0.25
6,0.75,175,4,0.019720792770385742,95,10000,0.125,0.25
7,0.125,129,3,0.02218914031982422,34,10000,0.125,0.25
7,0.25,166,3,0.018996238708496094,45,10000,0.125,0.25
7,0.5,210,3,0.019382476806640625,176,10000,0.125,0.25
7,0.75,261,6,0.020400524139404297,148,10000,0.125,0.25
8,0.125,286,4,0.02480173110961914,79,10000,0.125,0.25
8,0.25,77,2,0.020186185836791992,35,10000,0.125,0.25
8,0.5,546,8,0.019517898559570312,185,10000,0.125,0.25
8,0.75,408,5,0.020035743713378906,215,10000,0.125,0.25
9,0.125,151,4,0.01969456672668457,112,10000,0.125,0.25
9,0.25,266,6,0.01974201202392578,78,10000,0.125,0.25
9,0.5,314,6,0.019507646560668945,126,10000,0.125,0.25
9,0.75,293,8,0.019655942916870117,306,10000,0.125,0.25
10,0.125,227,5,0.019399404525756836,88,10000,0.125,0.25
10,0.25,232,6,0.01910543441772461,182,10000,0.125,0.25
10,0.5,184,6,0.019305944442749023,283,10000,0.125,0.25
10,0.75,547,8,0.019809246063232422,315,10000,0.125,0.25
11,0.125,220,6,0.018845081329345703,81,10000,0.125,0.25
11,0.25,367,5,0.019179105758666992,106,10000,0.125,0.25
11,0.5,341,7,0.01948857307434082,260,10000,0.125,0.25
11,0.75,470,9,0.01924443244934082,440,10000,0.125,0.25
12,0.125,411,8,0.018914461135864258,119,10000,0.125,0.25
12,0.25,406,8,0.019721508026123047,278,10000,0.125,0.25
12,0.5,325,7,0.020033597946166992,343,10000,0.125,0.25
12,0.75,494,9,0.019352197647094727,763,10000,0.125,0.25
13,0.125,275,7,0.01859283447265625,97,10000,0.125,0.25
13,0.25,258,5,0.0187685489654541,102,10000,0.125,0.25
13,0.5,646,11,0.01931929588317871,395,10000,0.125,0.25
13,0.75,392,7,0.019224882125854492,828,10000,0.125,0.25
14,0.125,495,10,0.01868605613708496,169,10000,0.125,0.25
14,0.25,339,7,0.018770933151245117,404,10000,0.125,0.25
14,0.5,338,8,0.019054174423217773,1091,10000,0.125,0.25
14,0.75,699,12,0.019160032272338867,654,10000,0.125,0.25
15,0.125,273,8,0.01898479461669922,190,10000,0.125,0.25
15,0.25,613,11,0.01885509490966797,315,10000,0.125,0.25
15,0.5,734,13,0.01958179473876953,547,10000,0.125,0.25
15,0.75,579,10,0.019312620162963867,611,10000,0.125,0.25
16,0.125,241,6,0.018645048141479492,103,10000,0.125,0.25
16,0.25,472,9,0.018890380859375,213,10000,0.125,0.25
16,0.5,753,11,0.018895864486694336,558,10000,0.125,0.25
16,0.75,672,15,0.01953721046447754,1316,10000,0.125,0.25
17,0.125,490,12,0.01918649673461914,274,10000,0.125,0.25
17,0.25,427,10,0.019371747970581055,633,10000,0.125,0.25
17,0.5,614,13,0.019510746002197266,869,10000,0.125,0.25
17,0.75,836,14,0.019974470138549805,1704,10000,0.125,0.25
18,0.125,406,8,0.019312143325805664,170,10000,0.125,0.25
18,0.25,555,11,0.019351959228515625,530,10000,0.125,0.25
18,0.5,780,17,0.019420862197875977,721,10000,0.125,0.25
18,0.75,1181,18,0.020181894302368164,1683,10000,0.125,0.25
19,0.125,351,10,0.01899409294128418,213,10000,0.125,0.25
19,0.25,990,18,0.01945638656616211,683,10000,0.125,0.25
19,0.5,580,13,0.019620180130004883,851,10000,0.125,0.25
19,0.75,832,21,0.020523786544799805,2187,10000,0.125,0.25
20,0.125,639,13,0.018956661224365234,419,10000,0.125,0.25
20,0.25,570,12,0.019097566604614258,581,10000,0.125,0.25
20,0.5,1251,23,0.020172119140625,2255,10000,0.125,0.25
20,0.75,1019,20,0.020257949829101562,1960,10000,0.125,0.25
21,0.125,740,17,0.019123077392578125,635,10000,0.125,0.25
21,0.25,987,20,0.019726037979125977,1637,10000,0.125,0.25
21,0.5,765,15,0.0197908878326416,1518,10000,0.125,0.25
21,0.75,1159,19,0.020455360412597656,2344,10000,0.125,0.25
22,0.125,575,10,0.019437789916992188,439,10000,0.125,0.25
22,0.25,1271,22,0.0191802978515625,854,10000,0.125,0.25
22,0.5,1220,22,0.019583463668823242,1412,10000,0.125,0.25
22,0.75,841,16,0.020064353942871094,1844,10000,0.125,0.25
23,0.125,839,18,0.019710302352905273,622,10000,0.125,0.25
23,0.25,1099,21,0.01970815658569336,892,10000,0.125,0.25
23,0.5,1253,26,0.020172595977783203,2054,10000,0.125,0.25
23,0.75,978,23,0.020957231521606445,3420,10000,0.125,0.25
24,0.125,487,12,0.019470691680908203,387,10000,0.125,0.25
24,0.25,574,12,0.019285202026367188,526,10000,0.125,0.25
24,0.5,950,16,0.019895553588867188,1251,10000,0.125,0.25
24,0.75,1454,28,0.020643949508666992,2799,10000,0.125,0.25
25,0.125,749,16,0.01946544647216797,691,10000,0.125,0.25
25,0.25,1349,24,0.02002739906311035,1155,10000,0.125,0.25
25,0.5,1408,25,0.020557165145874023,2187,10000,0.125,0.25
