vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.00018930435180664062,490,100,0.125,0.25,0.125
4,52,2,0.0004131793975830078,979,200,0.125,0.25,0.25
4,168,2,0.0006091594696044922,1444,300,0.125,0.25,0.5
4,90,2,0.0010497570037841797,2456,500,0.125,0.25,0.75
5,150,2,0.0004012584686279297,979,200,0.125,0.25,0.125
5,168,2,0.0005884170532226562,1440,300,0.125,0.25,0.25
5,50,2,0.001027822494506836,2449,500,0.125,0.25,0.5
5,15,2,0.0018558502197265625,4055,800,0.125,0.25,0.75
6,78,2,0.00039577484130859375,979,200,0.125,0.25,0.125
6,74,2,0.0007872581481933594,1925,400,0.125,0.25,0.25
6,41,2,0.0018515586853027344,3997,800,0.125,0.25,0.5
6,46,2,0.0032880306243896484,6293,1200,0.125,0.25,0.75
7,129,3,0.0007240772247314453,1474,300,0.125,0.25,0.125
7,69,2,0.0012636184692382812,2929,600,0.125,0.25,0.25
7,251,3,0.002927064895629883,5623,1100,0.125,0.25,0.5
7,73,3,0.005725860595703125,8698,1600,0.125,0.25,0.75
8,286,4,0.0010554790496826172,1989,400,0.125,0.25,0.125
8,77,2,0.0014843940734863281,3422,700,0.125,0.25,0.25
8,124,2,0.004168987274169922,7268,1400,0.125,0.25,0.5
8,166,3,0.009505748748779297,11625,2100,0.125,0.25,0.75
9,151,4,0.0011053085327148438,2462,500,0.125,0.25,0.125
9,70,3,0.0023097991943359375,4580,900,0.125,0.25,0.25
9,155,3,0.00670623779296875,9474,1800,0.125,0.25,0.5
9,98,5,0.026466846466064453,19995,2700,0.125,0.25,0.75
10,123,4,0.001409769058227539,3049,600,0.125,0.25,0.125
10,88,4,0.0044558048248291016,7306,1200,0.125,0.25,0.25
10,84,5,0.017266511917114258,16747,2300,0.125,0.25,0.5
10,176,5,0.03252863883972168,25131,3400,0.125,0.25,0.75
11,199,5,0.0018291473388671875,3712,700,0.125,0.25,0.125
11,305,4,0.005767822265625,8533,1400,0.125,0.25,0.25
11,233,5,0.031128644943237305,25382,2800,0.125,0.25,0.5
11,261,5,0.04673409461975098,35808,4200,0.125,0.25,0.75
12,214,5,0.002651214599609375,4904,900,0.125,0.25,0.125
12,201,5,0.008538484573364258,10798,1700,0.125,0.25,0.25
12,206,6,0.03258967399597168,24582,3300,0.125,0.25,0.5
12,287,5,0.06405949592590332,51049,5000,0.125,0.25,0.75
13,279,5,0.0030388832092285156,5459,1000,0.125,0.25,0.125
13,215,7,0.011449098587036133,11928,2000,0.125,0.25,0.25
13,267,6,0.04426932334899902,32636,3900,0.125,0.25,0.5
13,293,8,0.0975801944732666,67683,5900,0.125,0.25,0.75
14,323,8,0.006144523620605469,7046,1200,0.125,0.25,0.125
14,226,6,0.01808452606201172,14147,2300,0.125,0.25,0.25
14,280,6,0.07023286819458008,42484,4600,0.125,0.25,0.5
14,296,9,0.12160587310791016,71677,6900,0.125,0.25,0.75
15,141,5,0.009124755859375,8491,1400,0.125,0.25,0.125
15,308,6,0.029577970504760742,18261,2700,0.125,0.25,0.25
15,367,12,0.07532405853271484,60953,5300,0.125,0.25,0.5
15,329,7,0.13945841789245605,99590,7900,0.125,0.25,0.75
16,310,7,0.008851051330566406,8720,1500,0.125,0.25,0.125
16,352,8,0.033037424087524414,18476,3000,0.125,0.25,0.25
16,391,9,0.08061003684997559,55782,6000,0.125,0.25,0.5
16,264,10,0.14390230178833008,113157,9000,0.125,0.25,0.75
17,356,9,0.012898683547973633,10950,1700,0.125,0.25,0.125
17,294,9,0.04094648361206055,25289,3400,0.125,0.25,0.25
17,342,9,0.10632443428039551,84073,6800,0.125,0.25,0.5
17,383,10,0.18194222450256348,159940,10200,0.125,0.25,0.75
18,314,6,0.011357784271240234,11359,2000,0.125,0.25,0.125
18,432,9,0.04806780815124512,37018,3900,0.125,0.25,0.25
