vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
4,66,1,0.00020766258239746094,452,100,0.5,0.75,0.125
4,52,2,0.0003917217254638672,904,200,0.5,0.75,0.25
4,168,2,0.00058746337890625,1294,300,0.5,0.75,0.5
4,90,2,0.0010149478912353516,2207,500,0.5,0.75,0.75
5,150,2,0.0003917217254638672,904,200,0.5,0.75,0.125
5,168,2,0.0006172657012939453,1291,300,0.5,0.75,0.25
5,50,2,0.0010650157928466797,2200,500,0.5,0.75,0.5
5,15,2,0.0018854141235351562,3656,800,0.5,0.75,0.75
6,78,2,0.0003905296325683594,904,200,0.5,0.75,0.125
6,74,2,0.0007927417755126953,1725,400,0.5,0.75,0.25
6,41,2,0.0018315315246582031,3595,800,0.5,0.75,0.5
6,46,2,0.0033550262451171875,5694,1200,0.5,0.75,0.75
7,129,3,0.00067901611328125,1361,300,0.5,0.75,0.125
7,69,2,0.0012569427490234375,2629,600,0.5,0.75,0.25
7,210,3,0.003101825714111328,5176,1100,0.5,0.75,0.5
7,67,3,0.005718708038330078,7808,1600,0.5,0.75,0.75
8,286,4,0.0009431838989257812,1839,400,0.5,0.75,0.125
8,77,2,0.0014998912811279297,3072,700,0.5,0.75,0.25
8,124,2,0.004286289215087891,6568,1400,0.5,0.75,0.5
8,100,3,0.009716987609863281,10615,2100,0.5,0.75,0.75
9,156,4,0.0011591911315917969,2221,500,0.5,0.75,0.125
9,86,3,0.0026748180389404297,4394,900,0.5,0.75,0.25
9,152,3,0.0073163509368896484,8933,1800,0.5,0.75,0.5
9,126,3,0.024034738540649414,18590,2700,0.5,0.75,0.75
10,227,5,0.0015158653259277344,2789,600,0.5,0.75,0.125
10,139,4,0.004353761672973633,6341,1200,0.5,0.75,0.25
10,158,4,0.016417741775512695,14703,2300,0.5,0.75,0.5
10,52,4,0.03738141059875488,28248,3400,0.5,0.75,0.75
11,172,4,0.0019788742065429688,3473,700,0.5,0.75,0.125
11,272,4,0.008112192153930664,10381,1400,0.5,0.75,0.25
11,174,5,0.03061819076538086,25353,2800,0.5,0.75,0.5
11,150,6,0.05568289756774902,43493,4200,0.5,0.75,0.75
12,212,4,0.0033478736877441406,5018,900,0.5,0.75,0.125
12,175,4,0.009660720825195312,11181,1700,0.5,0.75,0.25
12,186,5,0.036466360092163086,25916,3300,0.5,0.75,0.5
12,313,6,0.07001447677612305,53582,5000,0.5,0.75,0.75
13,197,6,0.0036630630493164062,5373,1000,0.5,0.75,0.125
13,165,6,0.01414179801940918,11945,2000,0.5,0.75,0.25
13,277,8,0.05945277214050293,48326,3900,0.5,0.75,0.5
13,243,6,0.08773684501647949,66912,5900,0.5,0.75,0.75
14,310,7,0.005198001861572266,6705,1200,0.5,0.75,0.125
14,274,5,0.01866292953491211,14274,2300,0.5,0.75,0.25
14,158,6,0.06099677085876465,42985,4600,0.5,0.75,0.5
14,307,7,0.10028719902038574,66874,6900,0.5,0.75,0.75
15,177,5,0.006953239440917969,8467,1400,0.5,0.75,0.125
15,263,6,0.0282900333404541,20284,2700,0.5,0.75,0.25
15,235,9,0.09295296669006348,76813,5300,0.5,0.75,0.5
15,301,7,0.13140583038330078,98000,7900,0.5,0.75,0.75
16,297,8,0.007976531982421875,8507,1500,0.5,0.75,0.125
16,306,9,0.03634357452392578,27123,3000,0.5,0.75,0.25
16,290,10,0.09751534461975098,71408,6000,0.5,0.75,0.5
16,303,8,0.1747288703918457,150461,9000,0.5,0.75,0.75
17,294,7,0.010349035263061523,10995,1700,0.5,0.75,0.125
17,196,7,0.042424678802490234,30189,3400,0.5,0.75,0.25
17,290,9,0.12473058700561523,102331,6800,0.5,0.75,0.5
17,500,13,0.20798468589782715,185998,10200,0.5,0.75,0.75
18,292,7,0.018006324768066406,13767,2000,0.5,0.75,0.125
18,378,8,0.04913830757141113,33274,3900,0.5,0.75,0.25
18,285,9,0.13237500190734863,96179,7700,0.5,0.75,0.5
18,415,11,0.2624688148498535,239143,11500,0.5,0.75,0.75
19,271,10,0.022159337997436523,16552,2200,0.5,0.75,0.125
19,394,10,0.05661487579345703,38921,4300,0.5,0.75,0.25
19,517,13,0.1645965576171875,127551,8600,0.5,0.75,0.5
19,295,10,0.2640812397003174,226978,12900,0.5,0.75,0.75
20,398,9,0.025455474853515625,18718,2400,0.5,0.75,0.125
20,374,12,0.0657951831817627,44331,4800,0.5,0.75,0.25
20,459,12,0.16055774688720703,115203,9500,0.5,0.75,0.5
20,548,13,0.28167724609375,240425,14300,0.5,0.75,0.75
21,494,13,0.02924633026123047,20088,2700,0.5,0.75,0.125
21,605,13,0.0896749496459961,67573,5300,0.5,0.75,0.25
21,545,16,0.24840688705444336,211198,10500,0.5,0.75,0.5
21,541,16,0.40800952911376953,368554,15800,0.5,0.75,0.75
22,436,12,0.03273129463195801,22669,2900,0.5,0.75,0.125
22,572,13,0.08132243156433105,54198,5800,0.5,0.75,0.25
22,523,12,0.20000624656677246,143156,11600,0.5,0.75,0.5
22,605,17,0.3402128219604492,270208,17400,0.5,0.75,0.75
23,498,13,0.043845415115356445,32023,3200,0.5,0.75,0.125
23,564,16,0.11643695831298828,86855,6400,0.5,0.75,0.25
23,548,15,0.2796499729156494,218310,12700,0.5,0.75,0.5
23,662,17,0.40291762351989746,316802,19000,0.5,0.75,0.75
24,443,11,0.04036593437194824,25559,3500,0.5,0.75,0.125
24,466,13,0.12155675888061523,84664,6900,0.5,0.75,0.25
24,601,15,0.25501561164855957,180371,13800,0.5,0.75,0.5
24,743,16,0.513880729675293,419000,20700,0.5,0.75,0.75
25,630,14,0.06009793281555176,43811,3800,0.5,0.75,0.125
25,649,14,0.13764619827270508,100460,7500,0.5,0.75,0.25
25,790,21,0.34902334213256836,268179,15000,0.5,0.75,0.5
25,751,18,0.6851694583892822,601047,22500,0.5,0.75,0.75
26,546,13,0.059302330017089844,39965,4100,0.5,0.75,0.125
26,496,16,0.15247011184692383,117168,8200,0.5,0.75,0.25
26,615,16,0.3658161163330078,264354,16300,0.5,0.75,0.5
26,690,19,0.6258580684661865,528688,24400,0.5,0.75,0.75
27,503,15,0.0583803653717041,36512,4400,0.5,0.75,0.125
27,644,15,0.14431476593017578,92699,8800,0.5,0.75,0.25
27,718,18,0.44107770919799805,371189,17600,0.5,0.75,0.5
27,804,21,0.8060007095336914,670141,26400,0.5,0.75,0.75
28,513,16,0.07756805419921875,51139,4800,0.5,0.75,0.125
28,719,17,0.20694708824157715,162494,9500,0.5,0.75,0.25
28,830,20,0.6165816783905029,522334,18900,0.5,0.75,0.5
28,810,21,0.8498549461364746,694624,28400,0.5,0.75,0.75
29,875,15,0.0841531753540039,56048,5100,0.5,0.75,0.125
29,799,18,0.24842047691345215,185481,10200,0.5,0.75,0.25
29,705,19,0.5989871025085449,466713,20300,0.5,0.75,0.5
29,854,19,0.6689982414245605,462900,30500,0.5,0.75,0.75
30,672,19,0.08230209350585938,51196,5500,0.5,0.75,0.125
30,852,24,0.2679629325866699,198960,10900,0.5,0.75,0.25
30,928,19,0.40236783027648926,278262,21800,0.5,0.75,0.5
30,716,21,1.3874192237854004,1164690,32700,0.5,0.75,0.75
